Month,age,gender,targetset,accuracy,rt_mean,P_no,P_rt,M_no,M_rt,P1_no,P1_rt,P234_no,P234_rt,M1_no,M1_rt,M234_no,M234_rt,PV_no,PV_rt,PA_no,PA_rt,MV_no,MV_rt,MA_no,MA_rt,MAV_no,MAV_rt,V2A_no,V2A_rt,A2V_no,A2V_rt,V2V_no,V2V_rt,A2A_no,A2A_rt,PV2A_no,PV2A_rt,PA2V_no,PA2V_rt,MV2A_no,MV2A_rt,MA2V_no,MA2V_rt,PV2V_no,PV2V_rt,PA2A_no,PA2A_rt,MV2V_no,MV2V_rt,MA2A_no,MA2A_rt,P_Rr_no,P_Rr_rt,P_Rs_no,P_Rs_rt,M_Rr_no,M_Rr_rt,M_Rs_no,M_Rs_rt,T1V_no,T1V_rt,T1A_no,T1A_rt,T2V_no,T2V_rt,T2A_no,T2A_rt
328,A,M,1,0.9527,0.81995,24,0.85331,47,0.80735,6,0.91437,18,0.83553,11,0.86186,36,0.78212,12,1.0381,12,0.67078,16,1.2109,17,0.64127,14,0.53856,4,0.54286,7,0.93148,5,1.0265,5,0.63993,2,0.68453,4,0.9385,2,0.40536,3,0.9231,3,1.0466,3,0.55138,2,1.004,2,0.7722,7,0.83946,11,0.83037,10,0.74419,26,0.79729,6,1.0971,6,0.6837,6,0.97208,6,0.68291
358,A,F,2,0.99324,0.81315,26,0.84277,44,0.79346,6,1.0304,20,0.78643,11,0.96677,33,0.73723,13,0.81152,13,0.87267,16,0.88564,14,0.79996,14,0.68636,5,0.82812,4,1.0043,5,1.0452,11,0.81254,4,0.8625,3,0.78448,1,0.67908,1,1.6527,1,0.67738,7,0.87381,4,1.1381,4,0.70695,8,0.80759,12,0.76814,7,0.71168,26,0.74586,8,0.80374,5,0.86026,5,0.81898,5,0.86005
277,a,m,1,0.98649,0.56874,26,0.57433,50,0.56712,6,0.55014,20,0.58117,12,0.51551,38,0.58218,14,0.56232,12,0.58744,20,0.54767,21,0.62987,9,0.45924,10,0.63183,8,0.55363,11,0.58304,6,0.50003,6,0.60528,5,0.54901,4,0.66841,3,0.57029,4,0.64269,1,0.6678,7,0.55736,5,0.46545,8,0.60615,12,0.56485,13,0.71927,25,0.5119,6,0.58889,7,0.62933,8,0.54114,7,0.63179
314,A,f,2,0.97297,0.90982,24,1.0952,49,0.82104,6,1.2221,18,1.0529,11,0.98257,38,0.77243,14,1.1174,10,1.0686,23,0.81324,16,0.86495,10,0.75817,3,0.9647,11,0.93978,14,0.92907,2,1.0819,2,1.1013,6,0.99761,1,0.67066,5,0.867,5,1.3322,1,1.1252,9,0.70038,1,1.0386,8,0.96761,10,1.1189,14,0.7323,24,0.79456,7,1.1501,6,1.2482,7,1.0824,6,1.235
297,A,f,1,0.98649,0.5715,28,0.62968,53,0.53952,7,0.61255,21,0.63526,13,0.60341,40,0.52007,15,0.61245,13,0.64815,22,0.55494,22,0.55395,9,0.46785,9,0.64112,10,0.60739,6,0.57463,6,0.56421,8,0.64162,4,0.59921,1,0.63578,6,0.61173,3,0.69966,4,0.58713,3,0.44983,2,0.529,9,0.6197,12,0.64426,14,0.55454,26,0.50227,7,0.54813,6,0.66967,8,0.66235,6,0.66825
657,A,f,2,0.97297,0.76205,25,0.7684,50,0.75922,6,0.76867,19,0.76806,13,0.8235,37,0.73671,13,0.79418,12,0.73914,20,0.76674,20,0.83752,10,0.58941,7,1.0099,7,0.85294,5,0.7231,11,0.64178,3,0.81569,3,0.85854,4,1.1418,4,0.85657,1,1.1136,7,0.65343,4,0.63154,4,0.62723,7,0.71774,12,0.7949,13,0.73961,24,0.73558,8,0.78256,4,0.83542,5,0.81601,4,0.83546
80,6,M,2,0.91216,1.3426,25,1.3915,59,1.3228,5,1.9789,20,1.2594,14,1.3878,45,1.2997,12,1.4125,13,1.3795,25,1.1635,25,1.6088,9,0.94929,8,1.4485,12,1.3889,12,0.94853,14,1.4998,5,1.3373,3,1.693,3,1.638,9,1.3016,4,1.099,5,1.4705,8,0.872,9,1.5074,8,1.4151,12,1.1441,21,1.2023,24,1.3856,9,1.5069,6,1.2574,3,1.1635,6,1.2601
54,4,F,1,0.95946,1.6401,32,1.4697,61,1.7321,9,1.6308,23,1.4117,14,1.7989,47,1.7169,17,1.5223,15,1.4069,26,1.7238,26,1.7872,9,1.6192,10,1.6984,14,1.5563,14,1.7447,13,1.3304,6,1.594,5,1.5465,4,1.8462,9,1.5642,5,1.3946,5,1.1342,9,1.9295,8,1.4501,10,1.2721,13,1.5078,20,1.6605,27,1.7559,9,1.7436,7,1.3962,8,1.2582,7,1.4015
50,4,F,1,0.81081,2.1255,31,2.0664,45,2.1607,9,2.2537,22,1.9794,10,2.2412,35,2.1441,17,2.2289,14,1.8578,21,2.1665,16,2.3814,8,1.6788,8,1.6756,14,2.4079,10,2.2497,10,2.0832,5,1.7135,5,2.1994,3,1.6234,9,2.528,5,2.5553,5,1.684,5,1.9234,5,2.4882,9,2.1341,13,1.8645,14,2.1625,21,2.1453,9,2.4905,6,1.7327,8,1.9333,6,1.7287
49,4,M,1,0.91892,1.9362,28,1.843,56,1.9854,8,1.7569,20,1.8866,13,2.3507,43,1.8729,14,1.99,14,1.7268,24,1.9844,23,2.0569,9,1.8147,10,1.8449,12,2.1871,14,1.8768,12,1.8362,6,1.7986,5,2.37,4,1.927,7,2.0621,5,1.6627,5,1.5659,9,1.9945,7,2.029,10,2.1227,10,1.6509,20,1.9531,23,1.8127,6,1.7222,7,2.1087,8,2.1443,7,2.1094
54,4,M,2,0.59459,2.0588,18,2.2432,31,1.9469,4,2.5743,14,2.1621,7,1.9589,24,1.9473,11,2.3956,7,2.0184,21,2.1191,2,0.68311,8,1.83,4,2.533,10,2.3863,9,2.0437,2,1.0834,4,2.5327,3,2.9797,0,,7,2.1163,2,2.2775,2,1.0834,7,1.9767,0,,5,2.0873,9,2.1821,13,2.0367,11,1.8491,5,1.9842,2,1.2237,6,2.7178,2,1.2237
52,4,F,2,0.92568,1.8441,26,2.1325,56,1.7133,8,2.3991,18,2.0137,12,1.9402,44,1.6558,15,2.1944,11,2.0554,25,1.6404,24,1.7927,7,1.6769,6,2.2647,10,1.7985,15,1.487,13,1.7994,3,2.3415,3,2.6664,3,2.178,7,1.4415,7,1.8202,6,2.0388,8,1.2158,7,1.5962,9,2.006,9,2.0187,17,1.287,27,1.879,8,2.4068,3,2.5931,7,1.9276,3,2.6008
49,4,F,2,0.90541,1.5459,22,1.8317,61,1.4525,7,2.0671,15,1.7148,14,1.5213,47,1.4244,10,1.7522,12,1.8704,27,1.369,25,1.6606,9,1.1224,6,1.6322,13,1.4498,11,1.1934,13,1.7254,3,1.6344,4,1.3101,3,1.6031,9,1.5176,2,2.2504,5,2.0319,9,0.96358,8,1.5549,7,1.6006,8,1.8093,20,1.3185,27,1.5149,4,2.5273,4,2.6402,6,1.2635,4,2.6342
48,4,M,1,0.40541,1.9531,8,2.3213,30,1.8412,2,1.7013,6,2.5286,7,1.9852,23,1.8142,3,2.1993,5,2.4072,12,1.8508,15,1.9771,3,1.2679,5,2.2872,4,1.6661,7,1.869,6,1.6113,3,2.8114,1,1.6808,2,1.4331,3,1.6672,2,2.4383,1,1.5351,5,1.621,5,1.6567,3,2.2725,3,2.783,12,1.4762,11,2.1729,3,2.1794,4,2.3181,0,NaN,4,2.3349
