ID,Month,age,gender,targetset,accuracy,Paccu,P1accu,P2accu,P3accu,P4accu,P234accu,Maccu,M1accu,M2accu,M3accu,M4accu,M234accu,PVsingAccu,PAsingAccu,MVsingAccu,MAsingAccu,PV2Vaccu,MV2Vaccu,PA2Vaccu,MA2Vaccu,PA2Aaccu,MA2Aaccu,PV2Aaccu,MV2Aaccu,rtmean,Pno,Prt,Mno,Mrt,P1no,P1rt,P2no,P2rt,P3no,P3rt,P4no,P4rt,P234no,P234rt,M1no,M1rt,M2no,M2rt,M3no,M3rt,M4no,M4rt,M234no,M234rt,PVno,PVrt,PAno,PArt,MVno,MVrt,MAno,MArt,MAVno,MAVrt,Vsingno,Vsingrt,Asingno,Asingrt,V2Ano,V2Art,A2Vno,A2Vrt,V2Vno,V2Vrt,A2Ano,A2Art,PVsingno,PVsingrt,PAsingno,PAsingrt,MVsingno,MVsingrt,MAsingno,MAsingrt,P1Vsingno,P1Vsingrt,P1Asingno,P1Asingrt,M1Vsingno,M1Vsingrt,M1Asingno,M1Asingrt,PV2Ano,PV2Art,PA2Vno,PA2Vrt,MV2Ano,MV2Art,MA2Vno,MA2Vrt,PV2Vno,PV2Vrt,PA2Ano,PA2Art,MV2Vno,MV2Vrt,MA2Ano,MA2Art,P1V2Ano,P1V2Art,P1A2Vno,P1A2Vrt,M1V2Ano,M1V2Art,M1A2Vno,M1A2Vrt,P1V2Vno,P1V2Vrt,P1A2Ano,P1A2Art,M1V2Vno,M1V2Vrt,M1A2Ano,M1A2Art,P1Vno,P1Vrt,P1Ano,P1Art,M1Vno,M1Vrt,M1Ano,M1Art,PRrno,PRrrt,PRsno,PRsrt,MRrno,MRrrt,MRsno,MRsrt,crossno,crossrt,nocrossno,nocrossrt,T1Vno,T1Vrt,T1Ano,T1Art,T2Vno,T2Vrt,T2Ano,T2Art,filter_$,BAccuracy,BRT,BVisRt,BAudRt,BT1Vrt,BT2Vrt,BT1Art,BT2Art,PV234,PA234,VisDis,AudDis
Y01,53,1,F,2,.80405,.70833,.75,.66667,.83333,.58333,.69444,.85,.8,.92,.96,.72,.86667,.85714,.66667,.77778,.75,.8,.77778,.4,.77778,.6,.77778,.33333,1,1630.1615,19,1369.4405,52,1725.425,6,1253.8267,5,1708.91,5,1322.772,8,1476.9125,13,1422.8008,11,2072.3182,15,1702.6533,14,1639.2571,12,1536.4333,41,1632.3561,12,1261.9692,7,1553.6771,21,1763.1762,22,1698.6136,9,1702.8778,13,1700.3838,13,1700.3838,6,2060.25,9,1562.6733,11,1454.6618,10,1447.547,4,1185.07,0, ,6,2007.3167,8,1782.475,2,1015.505,2,1434.385,1,3289.8,1,1502.8,2,2377.5,1,883.96,3,1905.2333,6,1570.9333,3,1621.7333,3,1083.99,6,1459.1833,5,1589.62,0, ,1,1950.2,1,1890.8,1,1804.3,1,672.98,0, ,1,1708,2,1637.7,4,1163.5475,2,1434.385,3,2267.366,4,1667.25,5,1208.892,8,1556.4938,19,1598.0105,22,1662.0182,11,1956.7909,32,1652.2344,7,1252.1202,0, ,5,1288.2638,0, ,1,.93182,1066.601,920.1433,1186.43,597.3425,1178.384,1348.3667,992.106,1601.394,1730.45,544.02,681.2507
Y02,52,1,M,1,.85135,.72917,.66667,.75,.75,.79167,.75,.91,.96,.92,.88,.88,.89333,.28571,.66667,1,.75,.4,.77778,.8,.88889,1,.88889,.83333,1,2144.6118,20,2173.3,56,2134.3661,5,1705.1,6,2529.7667,5,2217,10,2075.6,15,2329.3667,14,2497.8857,15,2128.14,12,1905.175,15,1984.66,42,2013.1929,8,2133.6625,12,2199.725,24,1987.5042,23,2279.1739,9,2155.9333,11,1911.9364,11,1911.9364,9,2431.5333,12,2124.3583,9,2027.3111,13,2263.0308,1,2952.3,0, ,8,1811.7625,7,2246.2857,1,1431,2,1614.25,1,2153.9,2,2777.2,5,2594.62,2,1793.85,3,1939.7,5,1953.22,2,2616.15,5,2039.02,6,1811.45,6,2440.8167,0, ,2,1933,1,3091.6,3,2757.5,0, ,0, ,1,2144.8,2,2289.7,3,1765.6667,2,1614.25,5,2514.24,5,2645.08,8,2101.2,7,2590.1286,18,1939.7111,24,2068.3042,12,2265.5667,35,2083.8371,1,3155.7,4,2853.766,7,1986.3711,4,2853.757,1,.95455,1565.4632,1431.3,1714.5333,1404.32,1458.28,1857.5,1600.16,2316.82,2316.82,602.2867,885.52
Y04,55,1,F,1,.71622,.66667,.58333,.75,.75,.5,.69444,.74,.84,.68,.76,.68,.70667,.85714,.33333,.88889,.25,.8,.77778,.4,.77778,.2,.44444,.5,.25,1752.8179,17,1511.1035,39,1858.1805,4,1131.95,6,1880.15,5,1448.22,4,1698.015,13,1627.7662,12,1856.685,8,1517.2075,9,1832.25,10,2156.091,27,1858.8452,12,1581.075,5,1343.172,22,1640.6541,9,2701.1667,8,1508.0187,14,1755.3586,14,1755.3586,4,1542.14,9,1507.5367,11,1538.5855,5,2548.1,4,1926.775,0, ,7,1969.9571,3,2763.3667,2,1147.45,1,1117.2,1,783.32,0, ,3,1421.3867,1,1394.5,0, ,4,1343.8075,4,1615.175,1,1334.5,5,1218.368,2,3189.65,0, ,1,1115.7,1,1904.4,3,1894.1333,0, ,0, ,2,2185.95,2,2513.35,3,1136.8667,1,1117.2,6,1806.27,3,2310.3667,5,1445.672,8,1741.575,11,1664.2236,16,1992.6475,9,2003.2256,22,1926.1755,6,1667.8312,2,1394.53,6,1476.6164,2,1394.53,0,.93182,1401.2679,1104.509,1731,1141.574,1067.444,1713.84,1752.45,1399.665,1377.75,-353.25,295.156
Y08,59,1,F,1,.9527,.95833,.91667,1,1,.875,.97222,.95,.96,.96,1,.88,.94667,.71429,1,1,.83333,1,1,1,1,1,.77778,1,1,1634.6441,30,1519.61,58,1694.1445,8,1740.05,9,1412.4222,7,1473.3143,12,1489.525,22,1439.45,14,2167.9286,15,1395.1167,15,1627.5487,14,1612.1,44,1543.395,15,1482.9733,15,1556.2467,27,1582.6259,23,1853.487,8,1612.41,14,1494.6143,14,1494.6143,10,1471.92,14,1621.8143,14,1524.6786,12,1668.0917,4,1349.475,1,1799,8,1533.75,8,1979.8625,1,1374.7,2,1824.2,1,1882,2,2754.7,6,1445.2333,2,1556.1,3,1361.2,6,1400.8167,4,1353.625,5,1454.58,7,1509.1714,5,1678.16,0, ,3,1779.2,1,1964.2,3,1950.2333,1,1607.7,0, ,2,1879.55,2,2176.7,5,1664,3,1866.8,6,1915.3,5,2365.4,10,1419.4,12,1456.1583,20,1507.0615,24,1573.6729,12,1780.2667,38,1684.1553,7,1606.0309,7,1664.6277,8,1384.7542,7,1664.2347,1,.97727,1737.915,1641.34,1834.49,1378,1904.68,1554.25,2254.85,1478.6083,1566.2711,-268.2189,-162.7317
Y10,58,1,F,1,.81081,.6875,.58333,.66667,.75,.70833,.72222,.87,.8,.88,.96,.84,.89333,.57143,.66667,1,.75,.4,1,.8,.77778,.6,.77778,.33333,1,1905.2789,17,2423.7235,54,1742.0648,4,2231.275,5,2577,4,2816.7,10,1632.128,13,2482.9385,11,1831.3636,14,1602.2529,14,2068.9286,15,1501.9973,43,1719.2209,10,2761.39,7,1941.3429,25,1728.4996,22,1681.905,7,1979.5857,13,2050.4623,13,2050.4623,6,2038,11,2418.1636,11,1597.3255,10,1844.91,4,2950.25,0, ,8,1724.4763,8,1455.7588,0, ,2,2214.2,1,1059.2,1,1171.9,2,1791.7,2,2888.8,3,2421.3333,5,2269.54,2,2769.3,3,1859.2,7,1304.2971,5,1811.46,0, ,2,2248.35,1,1380.6,2,2488.9,0, ,0, ,2,1450.95,2,1907.1,2,2248.35,2,2214.2,5,1787.78,4,1591.675,6,2317.3333,7,2624.8857,19,1841.7253,24,1622.2383,13,1654.8877,34,1726.4959,3,3058.5823,1,2352,7,2630.6911,1,2352,1,.95455,1316.3705,1311.394,1321.9,1436.16,1186.628,1269.28,1387.675,1832.2,1825.45,503.55,520.806
Y11,53,1,M,2,.78378,.75,.58333,.66667,.91667,.875,.80556,.8,.72,.96,.76,.76,.82667,.85714,.66667,1,.58333,1,.77778,.6,.66667,.6,.77778,.33333,.75,1697.4964,21,1970.4662,49,1580.5094,4,2404.925,6,1833.1,6,1721.4,12,1804.3742,17,1868.2406,11,1570.8555,15,1884.98,10,1250.105,13,1491.5231,38,1583.3039,14,1892.8786,7,2125.6414,22,1643.7155,19,1516.0905,8,1559.6875,15,1798.9267,15,1798.9267,5,2068.12,9,1846.8933,12,1588.0083,10,1329.119,5,1893.64,1,3156.4,8,1803.925,6,1725.55,1,1696.7,1,3253.4,1,1387.6,1,916.41,2,2706.75,2,1842.95,2,1800.25,5,1636.828,4,1744.975,3,1018.73,5,1277.76,6,1478.6,0, ,1,2528.5,1,1326.6,1,2223.5,1,2141.1,0, ,2,1773.15,1,1363.4,3,2122.1,1,3253.4,4,1789.35,3,1202.1367,7,1696.3557,10,1988.56,15,1314.7167,23,1758.4696,8,1814.9125,33,1528.7321,8,1915.3838,2,2727.45,6,1862.0388,2,2727.45,1,.86364,1385.09,1215.9529,1516.6411,1108.63,1296.445,2096.225,1052.974,1937.6817,2293.96,777.3189,721.7288
Y12,51,1,F,1,.84459,.85417,.75,.83333,.83333,.95833,.88889,.84,.8,.88,.8,.88,.85333,.85714,1,.77778,1,.6,1,.6,.77778,1,1,1,1,1512.0206,26,1678.5138,58,1437.3857,6,1643.1667,8,1684.8875,5,1869.62,15,1581.2867,20,1689.118,14,1605.2079,15,1506.44,13,1283.02,16,1351.225,44,1383.9877,12,2082.125,14,1332.5614,23,1457.4678,27,1596.7581,8,841.7675,13,1731.9346,13,1731.9346,10,1371.677,10,1575.964,12,1686.0392,14,1395.2207,4,2145.8,1,1417.8,6,1426.9867,10,1924.357,2,2312.1,2,1450.4,1,745.83,2,1358.5,6,1298.0783,1,1437.4,3,1530.5667,4,1279.81,3,2668.9,5,1309.758,7,1056.4243,7,1417.3143,0, ,2,1167,1,1336.6,3,2289.6667,0, ,0, ,2,2415.4,2,1531.55,4,1739.55,2,1450.4,6,2074.271,5,1423.34,9,1487.0178,11,1854.4727,19,1249.1616,25,1486.4556,11,1806.76,39,1455.3813,5,2467.1919,6,1415.6605,7,1810.2256,6,1409.3449,1,1,957.8843,957.824,957.9391,963.28,952.368,936.2267,983.994,1312.9217,1341.87876666667,383.939666666667,355.0977
Y14,57,1,M,1,.93919,.91667,.75,.91667,1,1,.97222,.95,.88,.92,1,1,.97333,1,.66667,1,.91667,.6,1,1,1,1,.88889,1,1,1215.4943,29,1438.1493,61,1109.642,7,1472.0671,8,1392.1625,7,1352.7557,15,1290.906,22,1427.3573,15,1062.3033,14,1230.9079,15,1113.2107,17,1048.3965,46,1125.0785,15,1366.298,14,1515.1329,27,1004.1933,25,1325.592,9,826.1267,16,1230.5031,16,1230.5031,10,1507.42,14,1163.4814,12,969.2417,13,1338.4423,5,1372.78,1,1616.4,8,1167.4963,9,1463.3222,2,1307.15,1,1782.4,1,869.88,2,971.105,6,1673.4833,2,1238.85,3,1360.9,6,940.7917,3,1358.1333,5,1265.712,7,762.6114,6,1334.8483,0, ,3,1488.0567,1,950.6,3,1234.04,0, ,0, ,2,1109.11,2,1531.05,5,1415.694,2,1613,6,1131.703,5,1190.982,10,1455.356,12,1404.025,21,1009.4252,25,1222.2272,13,1279.1654,39,1118.5608,7,1706.1525,7,1689.0249,8,1064.2788,7,1680.7513,1,1,1125.8395,860.1,1367.4209,819.496,900.704,1249.1083,1509.396,1498.8217,1518.53176666667,151.110866666667,638.7217
Y17,54,1,M,2,.90541,.95833,.83333,1,1,.95833,1,.88,.72,.96,.96,.88,.93333,1,1,.85714,.88235,1,.875,1,1,.83333,1,1,.66667,1338.3231,30,1218.21,56,1402.6695,8,1251.0587,5,1079.782,9,1183.01,15,1362.0413,22,1206.265,12,1208.2025,15,1469.7593,16,1532.4513,13,1345.0346,44,1455.7059,16,1070.3406,14,1387.2036,24,1328.5612,25,1550.3864,7,1129.1943,11,1561.39,11,1561.39,6,1344.0517,11,1398.0236,14,885.0064,13,1285.6154,4,1199.6975,3,1626.3333,6,1870.05,14,1654.2071,1,1156.2,2,1325.9,0, ,1,2713.5,3,1831.9667,1,892.35,1,874.64,7,1442.8186,6,817.9483,5,1112.82,6,927.4333,6,1378.4833,1,830.05,2,1801.15,1,863.72,1,783.88,1,924.28,0, ,1,993.52,2,1439,5,1305.324,3,1160.6167,4,975.185,4,1613.805,10,1146.113,12,1256.3917,17,1166.2218,27,1637.9737,17,1253.2388,32,1541.8772,8,1175.3549,7,1760.2385,8,968.7246,7,1772.4068,1,.88636,916.985,1021.613,812.357,802.722,1240.504,981.64,643.074,1449,1523.70666666667,711.349666666667,427.387
Y27,56,1,F,2,.83108,.85417,.91667,.83333,.83333,.79167,.83333,.82,.8,.84,.92,.72,.82667,1,1,.85714,.81818,.6,.75,.57143,.55556,1,.83333,1,.83333,1729.6747,25,1660.9776,48,1765.4544,8,2126.3875,6,1337.15,7,1623.0857,8,1603.5175,17,1441.9612,12,2036.1667,11,1769.1027,14,1709.0614,11,1538.2564,36,1675.2169,12,1918.5,13,1423.2646,21,1701.5895,22,1856.6832,5,1632.28,10,2042.08,10,2042.08,8,1843.0175,9,1497.8089,9,1878.3889,8,1496.9413,2,1552.55,5,1350.34,5,2159.42,6,2011.8833,2,2306.45,2,1507.3,1,1905.7,3,1782.6333,3,1422.2133,2,1171.3,3,1954.1,4,1194.145,2,1788.9,3,1489.8333,4,1360.4,4,1298.5575,0, ,2,1662.2,2,2307.6,1,3036.7,1,2863.2,0, ,2,2511.45,1,2311.8,6,2332.75,2,1507.3,5,2265.98,6,2045.8167,6,1555.99,11,1379.7636,14,1344.7914,22,1885.4877,12,1883.9683,31,1741.0577,4,2990.0263,5,1500.4517,8,1380.1361,5,1494.3769,1,.97727,1515.6175,1210.3509,1888.7211,1244.766,1181.6717,1544.528,2318.9625,1407.9855,1420.79553333333,-467.925566666667,197.6346
M01,83,2,M,1,.93919,.95833,1,.91667,1,.91667,.94444,.93,.8,.96,1,.96,.97333,1,1,1,1,1,1,1,1,.83333,1,1,1,1399.8074,30,1179.0127,61,1508.3949,9,1102.9189,4,1251.445,9,1128.8722,16,1433.2,21,1211.6243,13,1544.0146,15,1502.3653,17,1512.6765,16,1480.5575,48,1498.7479,16,1074.2319,14,1298.7621,26,1443.0415,28,1611.4139,7,1339.06,12,1383.7458,12,1383.7458,7,1581.8414,11,1501.06,15,1220.484,13,1567.5923,4,1063.53,3,1000.49,7,1615.7757,15,1542.88,1,1040.4,2,1322.1,0, ,2,1530.9,3,1748.0333,1,957.4,2,1540.695,7,1480.4371,6,1152.0533,4,1268.675,7,1312.6486,6,1729.3,1,1164.2,2,1128.75,1,1583.2,1,2933.7,1,905.4,1,1054,1,1301,2,1937.1,5,1012.774,4,1215.6,4,1437.722,5,1703.84,10,1318.274,11,1114.67,19,1480.7116,29,1510.5648,18,1374.3861,36,1608.3256,8,1151.9446,7,1322.4344,8,994.9815,7,1320.9906,1,.97727,1038.679,897.962,1179.396,998.474,797.45,1501.918,856.874,1057.6611,1339.0661,159.6701,159.6991
M02,83,2,F,2,.98649,1,1,1,1,1,1,.98,.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,845.3502,32,844.1912,63,845.9389,9,996.6344,9,679.2356,7,838.7243,15,772.4087,23,784.5396,15,901.7387,16,909.3669,15,873.4627,17,712.7212,48,828.5015,17,877.6076,15,806.3193,27,836.9985,27,917.307,9,658.6556,16,930.2569,16,930.2569,10,951.259,14,900.6171,14,716.11,14,674.4936,5,822.398,1,459.13,8,978.0625,10,1226.301,2,1151.18,2,762.805,1,645.26,2,925.155,6,1005.2,2,876.11,3,790.9633,6,806.18,4,612.4975,5,647.976,7,568.0929,7,703.5129,0, ,3,1187.99,1,1108.5,3,818.4567,1,738.8,0, ,2,1430.05,2,639.22,6,1100.855,3,788.1933,6,993.455,5,847.45,10,882.115,13,709.4815,21,700.8238,27,927.8063,13,958.3562,41,851.4054,9,847.127,7,926.2464,8,912.8028,7,920.7258,1,.97727,605.2371,644.988,569.1,653.972,636.004,478.2167,678.16,770.335166666667,704.102,135.002,125.347166666667
M03,77,2,M,1,.95946,1,1,1,1,.95833,1,.94,.84,1,1,.92,.97333,1,1,1,.91667,1,1,1,1,1,1,1,1,1100.9844,32,1053.7447,62,1125.3661,9,855.0256,9,1094.9989,7,923.9686,14,1185.3321,23,1131.5043,15,1171.2827,16,1069.7313,15,1116.674,16,1146.1031,47,1110.7119,17,844.5941,15,1290.782,27,1065.1485,26,1251.0869,9,942.8256,16,1061.8063,16,1061.8063,10,1560.233,14,941.5586,14,924.7421,14,1118.1679,5,902.372,1,1694.5,8,1253.3963,9,1206.74,2,831.045,2,864.465,1,787.78,2,1175.76,6,1742.155,2,868.65,3,1292.2333,6,1006.75,4,796.66,5,888.274,7,930.0771,7,1164.48,0, ,3,821.14,1,1272.7,3,980.2,1,796.79,0, ,2,1226.21,2,1530.81,6,820.3833,3,924.31,6,1030.133,5,1337.168,10,1163.41,13,1106.9615,21,1054.3157,26,1156.2627,13,1296.5531,40,1110.802,9,907.4034,7,1748.8927,8,772.731,7,1761.0987,1,1,831.1595,738.913,915.02,746.544,731.282,937.32,888.26,855.894,1441.643,526.623,116.981
M06,80,2,M,2,.9527,1,1,1,1,1,1,.93,.76,.96,1,1,.98667,1,1,1,1,1,1,1,1,1,1,1,1,991.9599,32,884.4494,63,1046.5684,9,972.73,9,847.6333,7,793.5671,15,825.548,23,849.9048,15,990.84,16,1235.6119,15,1015.3853,17,945.3318,48,1063.9835,17,845.3071,15,928.8107,27,918.3796,27,1247.9752,9,826.9144,16,980.4731,16,980.4731,10,1019.685,14,929.6036,14,747.4607,14,1014.53,5,865.24,1,1032.5,8,1086.6487,10,1426.908,2,768.14,2,865.65,1,1131.9,2,1016.12,6,1012.5183,2,742.895,3,1058.2667,6,894.26,4,708.59,5,758.77,7,670.6971,7,1159.3643,0, ,3,1068.8667,1,946.94,3,985.5,1,980.99,0, ,2,977.11,2,1147.01,6,953.9783,3,1010.2333,6,1007.103,5,1054.64,10,820.153,13,872.7908,21,959.1595,27,1145.5133,13,1133.4923,41,1067.2239,9,942.9685,7,1067.7405,8,740.0723,7,1068.8769,1,.97727,626.8681,615.875,636.8618,583.854,647.896,539.8267,753.304,772.241666666667,934.5961,297.7343,156.366666666667
